Species	protein	log(e)2	% (measured)	% (corrected)	unique	total	Mr	upper	lower	1	2	3	4	5	6	7	8	9	10	11	light	heavy	Total
NA	tr|Q93765|Q93765_CAEEL	-390.2	58	100+	28	275	54.5	40	NA	9	24	7	24	6	23	4	32	NA	8	15	30	53	275
NA	tr|Q93786|Q93786_CAEEL	-2.9	5.1	7	1	1	30.7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	1
NA	tr|Q93791|Q93791_CAEEL	-3.2	0.4	1	1	1	174.3	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
NA	tr|Q93831|Q93831_CAEEL	-2.1	3.8	5	1	1	31.2	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
NA	tr|Q93871|Q93871_CAEEL	-28.7	2.7	7	1	10	50.5	NA	NA	2	2	1	2	NA	1	NA	1	NA	1	NA	NA	NA	10
NA	tr|Q93874|Q93874_CAEEL	-97.8	41	50	7	23	23.4	NA	1	2	3	3	3	NA	NA	1	2	NA	2	NA	5	1	23
NA	tr|Q93878|Q93878_CAEEL	-11.6	8.4	10	2	3	42.9	NA	NA	NA	2	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	3
NA	tr|Q93893|Q93893_CAEEL	-2.5	3.2	7	1	1	30.4	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
NA	tr|Q93896|Q93896_CAEEL	-3.5	1.8	3	1	2	63.8	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2
NA	tr|Q93934|Q93934_CAEEL	-152.9	57	73	13	66	37.4	NA	2	12	4	15	4	5	2	7	3	2	4	1	5	NA	66
NA	tr|Q94055|Q94055_CAEEL	-63.8	20	24	7	11	43.9	NA	NA	6	NA	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11
NA	tr|Q94162|Q94162_CAEEL	-18	16	21	2	33	10.8	1	NA	5	1	5	1	2	2	2	3	2	3	1	3	2	33
NA	tr|Q94173|Q94173_CAEEL	-67.2	43	47	7	14	23.7	NA	7	NA	2	1	1	NA	NA	NA	NA	NA	NA	NA	2	1	14
NA	tr|Q94184|Q94184_CAEEL	-14	7	18	1	7	17.6	NA	1	2	2	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	7
NA	tr|Q94195|Q94195_CAEEL	-3.5	5.3	12	1	1	14.9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	1
NA	tr|Q94215|Q94215_CAEEL	-87.7	37	66	7	51	26.6	NA	5	NA	3	2	8	NA	5	NA	7	NA	3	4	3	11	51
NA	tr|Q94216|Q94216_CAEEL	-5.3	2	3	1	1	69.4	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
NA	tr|Q94230|Q94230_CAEEL	-208.3	65	77	18	140	25.5	NA	8	8	19	11	20	10	16	1	16	NA	14	8	3	6	140
NA	tr|Q94241|Q94241_CAEEL	-59.9	29	47	6	10	24.3	NA	NA	2	5	2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	10
NA	tr|Q94246|Q94246_CAEEL	-1465.6	40	100+	105	1187	227.3	164	NA	50	104	67	101	35	127	34	80	18	41	26	94	246	1187
NA	tr|Q94247|Q94247_CAEEL	-1418.4	1.2	5	1	3	221	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	3
NA	tr|Q94259|Q94259_CAEEL	-49.9	19	27	6	8	43.1	NA	NA	3	NA	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8
NA	tr|Q94269|Q94269_CAEEL	-1760.7	50	94	119	1824	256.3	219	78	75	150	94	186	68	145	74	181	48	70	88	136	212	1824
NA	tr|Q94271|Q94271_CAEEL	-61.1	19	40	7	18	39.7	NA	NA	6	NA	5	NA	2	NA	3	NA	NA	2	NA	NA	NA	18
NA	tr|Q94272|Q94272_CAEEL	-103.1	32	50	10	23	46	NA	NA	8	1	6	NA	3	NA	3	NA	NA	1	NA	NA	1	23
NA	tr|Q95PW8|Q95PW8_CAEEL	-71.4	25	39	7	17	29.1	NA	1	4	NA	1	NA	NA	NA	1	2	NA	NA	NA	6	2	17
NA	tr|Q95PX0|Q95PX0_CAEEL	-24.9	6.8	9	3	5	44.4	NA	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	2	1	5
NA	tr|Q95PZ1|Q95PZ1_CAEEL	-50.2	37	55	5	10	15.5	NA	1	NA	3	NA	5	NA	1	NA	NA	NA	NA	NA	NA	NA	10
NA	tr|Q95Q32|Q95Q32_CAEEL	-5.6	1.6	3	1	2	71.7	NA	NA	1	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2
NA	tr|Q95Q60|Q95Q60_CAEEL	-11.5	7.3	10	2	3	34.1	NA	NA	NA	2	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	3
NA	tr|Q95Q93|Q95Q93_CAEEL	-4	2.2	3	1	1	47	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1
NA	tr|Q95QB1|Q95QB1_CAEEL	-31	5.8	8	3	4	65.5	NA	NA	NA	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4
NA	tr|Q95QD9|Q95QD9_CAEEL	-2.7	4.2	15	1	1	19.1	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
NA	tr|Q95QH4|Q95QH4_CAEEL	-43.8	17	19	4	9	28.6	NA	NA	2	2	2	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	9
NA	tr|Q95QH7|Q95QH7_CAEEL	-189	41	67	17	54	50.3	NA	NA	7	1	6	2	5	NA	3	NA	NA	4	NA	24	2	54
NA	tr|Q95QQ5|Q95QQ5_CAEEL	-18.8	6.2	10	2	9	42.3	NA	NA	2	1	2	1	NA	NA	1	1	NA	1	NA	NA	NA	9
NA	tr|Q95QV3|Q95QV3_CAEEL	-260.8	68	81	17	107	26.2	NA	1	7	7	8	4	8	1	7	3	6	6	NA	42	7	107
NA	tr|Q95QX5|Q95QX5_CAEEL	-63.6	15	26	5	20	48.5	NA	NA	3	1	4	NA	1	1	1	3	NA	2	NA	3	1	20
NA	tr|Q95QY8|Q95QY8_CAEEL	-20.2	6	12	2	17	26.2	NA	1	1	1	1	1	NA	2	NA	1	NA	3	1	2	3	17
NA	tr|Q95QZ1|Q95QZ1_CAEEL	-48.6	37	100+	5	27	13.5	NA	4	2	5	3	1	NA	4	NA	3	NA	2	1	NA	2	27
NA	tr|Q95R15|Q95R15_CAEEL	-2.3	13	15	1	1	12.8	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
NA	tr|Q95X21|Q95X21_CAEEL	-113.3	21	29	11	35	64.6	NA	NA	13	3	12	1	2	1	NA	3	NA	NA	NA	NA	NA	35
NA	tr|Q95X44|Q95X44_CAEEL	-423.3	82	100+	32	376	25.6	7	57	28	30	24	36	14	40	8	38	8	18	19	9	40	376
NA	tr|Q95X54|Q95X54_CAEEL	-12.6	14	37	2	5	20.4	NA	NA	1	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	5
NA	tr|Q95XC2|Q95XC2_CAEEL	-5.1	11	26	1	1	21.7	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
NA	tr|Q95XC7|Q95XC7_CAEEL	-2	2.6	5	1	1	43.1	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
NA	tr|Q95XG5|Q95XG5_CAEEL	-3.4	0.5	1	1	1	121.7	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
NA	tr|Q95XH1|Q95XH1_CAEEL	-12.6	7.7	18	2	3	29.8	NA	NA	1	NA	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	3
NA	tr|Q95XI6|Q95XI6_CAEEL	-70.2	33	57	6	54	22.8	NA	NA	3	8	4	6	1	9	1	10	NA	5	5	NA	2	54
NA	tr|Q95XJ0|Q95XJ0_CAEEL	-143.6	48	59	12	83	32.4	NA	NA	6	11	12	15	7	7	3	7	NA	8	5	2	NA	83
NA	tr|Q95XJ2|Q95XJ2_CAEEL	-478.1	34	48	40	168	147.5	30	NA	23	27	28	16	1	3	NA	8	NA	13	1	13	5	168
NA	tr|Q95XM1|Q95XM1_CAEEL	-18.4	11	50	2	5	15.2	NA	2	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5
NA	tr|Q95XM5|Q95XM5_CAEEL	-41.4	18	28	5	6	41.9	NA	NA	4	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6
NA	tr|Q95XM8|Q95XM8_CAEEL	-10.5	4.2	13	1	1	45.2	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
NA	tr|Q95XN1|Q95XN1_CAEEL	-2.6	4.7	5	1	1	34.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	1
NA	tr|Q95XN6|Q95XN6_CAEEL	-2.5	14	15	1	1	8.6	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
NA	tr|Q95XP5|Q95XP5_CAEEL	-242.8	16	27	17	69	134.7	NA	1	6	17	9	9	1	5	NA	10	NA	2	NA	6	3	69
NA	tr|Q95XR0|Q95XR0_CAEEL	-172.3	39	60	15	49	51.2	NA	NA	2	12	2	14	1	6	1	6	1	1	NA	2	1	49
NA	tr|Q95XR3|Q95XR3_CAEEL	-10.9	5.7	8	2	2	46	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2
NA	tr|Q95XS1|Q95XS1_CAEEL	-72.4	20	92	6	44	19.7	NA	8	2	9	3	10	NA	5	NA	7	NA	NA	NA	NA	NA	44
NA	tr|Q95XS2|Q95XS2_CAEEL	-41.1	40	45	4	30	8.6	NA	9	3	6	1	6	NA	2	NA	1	NA	NA	1	NA	1	30
NA	tr|Q95XT5|Q95XT5_CAEEL	-134.8	41	100+	11	64	28.6	4	13	4	9	3	14	1	4	NA	5	NA	2	2	1	2	64
NA	tr|Q95XU3|Q95XU3_CAEEL	-307.6	45	68	28	107	90.6	NA	NA	8	16	12	7	2	10	1	15	NA	3	4	14	15	107
NA	tr|Q95XX6|Q95XX6_CAEEL	-25.4	16	23	3	8	21	NA	NA	NA	NA	NA	1	NA	4	NA	2	NA	NA	1	NA	NA	8
NA	tr|Q95Y15|Q95Y15_CAEEL	-54.4	5.4	8	6	9	150	NA	NA	3	1	NA	NA	NA	NA	NA	1	NA	NA	NA	4	NA	9
NA	tr|Q95Y16|Q95Y16_CAEEL	-42.3	17	24	3	8	42.8	NA	NA	NA	1	NA	2	NA	NA	NA	1	NA	NA	NA	2	2	8
NA	tr|Q95Y17|Q95Y17_CAEEL	-327.1	37	94	23	409	49	53	3	18	35	15	48	11	39	10	51	9	14	28	18	57	409
NA	tr|Q95Y18|Q95Y18_CAEEL	-70.7	18	43	6	22	43.4	6	NA	NA	1	NA	1	NA	2	NA	3	NA	NA	NA	2	7	22
NA	tr|Q95Y22|Q95Y22_CAEEL	-2.7	1.6	4	1	1	29.3	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
NA	tr|Q95Y24|Q95Y24_CAEEL	-57	9.7	26	7	17	66.6	NA	NA	4	4	2	3	NA	1	NA	3	NA	NA	NA	NA	NA	17
NA	tr|Q95Y28|Q95Y28_CAEEL	-63.9	29	69	6	28	25.3	NA	NA	NA	1	NA	1	2	10	3	7	1	3	NA	NA	NA	28
NA	tr|Q95Y29|Q95Y29_CAEEL	-34.7	27	47	4	10	25.6	NA	1	NA	1	NA	1	NA	4	NA	1	NA	NA	NA	NA	2	10
NA	tr|Q95Y67|Q95Y67_CAEEL	-2.1	3	8	1	1	45.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	1
NA	tr|Q95Y79|Q95Y79_CAEEL	-16.3	7.8	10	2	5	31.9	NA	3	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	5
NA	tr|Q95Y87|Q95Y87_CAEEL	-3.3	7.2	9	1	1	17.1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
NA	tr|Q95Y92|Q95Y92_CAEEL	-26.3	22	32	3	7	15.6	NA	NA	1	2	1	NA	NA	NA	NA	1	NA	1	NA	1	NA	7
NA	tr|Q95Y93|Q95Y93_CAEEL	-24.8	28	37	3	3	15.1	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	3
NA	tr|Q95Y96|Q95Y96_CAEEL	-3.8	9.9	13	1	1	19.8	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
NA	tr|Q95YB2|Q95YB2_CAEEL	-15.3	5.4	8	2	3	45.2	NA	NA	2	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3
NA	tr|Q95YC3|Q95YC3_CAEEL	-3.4	1.3	2	1	1	60.5	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
NA	tr|Q95YC4|Q95YC4_CAEEL	-17.8	3.7	5	2	6	61.4	NA	NA	1	NA	2	NA	NA	NA	1	NA	NA	1	NA	1	NA	6
NA	tr|Q95YD5|Q95YD5_CAEEL	-220.1	50	82	17	168	39.9	19	41	9	14	12	21	1	7	1	14	1	10	1	5	12	168
NA	tr|Q95YD8|Q95YD8_CAEEL	-12.9	8.3	13	2	2	40.8	NA	NA	1	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2
NA	tr|Q95ZK4|Q95ZK4_CAEEL	-2.5	2.7	4	1	1	51.1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
NA	tr|Q95ZM7|Q95ZM7_CAEEL	-5.5	9.3	10	1	3	15.2	NA	NA	NA	NA	1	NA	NA	1	NA	1	NA	NA	NA	NA	NA	3
NA	tr|Q95ZS1|Q95ZS1_CAEEL	-147.6	24	36	11	36	54.3	NA	NA	1	4	3	2	1	2	NA	6	NA	2	1	9	5	36
NA	tr|Q95ZU1|Q95ZU1_CAEEL	-17.9	1.8	2	2	2	206.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	1	NA	2
NA	tr|Q95ZW2|Q95ZW2_CAEEL	-7.1	4.8	8	1	3	24.4	NA	NA	1	NA	1	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	3
NA	tr|Q95ZW9|Q95ZW9_CAEEL	-3.1	3.3	4	1	1	50.8	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
NA	tr|Q960A6|Q960A6_CAEEL	-15.5	7	89	2	17	27	1	NA	1	1	2	2	NA	2	1	2	NA	2	1	1	1	17
NA	tr|Q965J8|Q965J8_CAEEL	-196.6	6.9	10	5	17	99.3	NA	NA	1	4	4	3	NA	NA	NA	2	NA	NA	NA	2	1	17
NA	tr|Q965P1|Q965P1_CAEEL	-38.2	24	100+	3	25	16.6	NA	NA	2	3	2	2	NA	5	NA	4	NA	NA	1	2	4	25
NA	tr|Q965P2|Q965P2_CAEEL	-2.8	3.3	6	1	1	40.7	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	1
NA	tr|Q965R9|Q965R9_CAEEL	-78.8	35	39	8	23	40.7	NA	NA	10	1	10	NA	1	NA	NA	NA	NA	1	NA	NA	NA	23
NA	tr|Q965S2|Q965S2_CAEEL	-3.2	3.2	5	1	2	39.6	NA	NA	NA	1	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	2
NA	tr|Q965S5|Q965S5_CAEEL	-16.6	7.4	11	2	2	32.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	2
NA	tr|Q965S9|Q965S9_CAEEL	-37.5	27	37	4	12	16.6	NA	NA	1	4	3	3	NA	1	NA	NA	NA	NA	NA	NA	NA	12
NA	tr|Q965T2|Q965T2_CAEEL	-40.1	23	29	4	9	30.8	NA	NA	1	1	2	1	NA	NA	NA	NA	NA	NA	NA	4	NA	9
NA	tr|Q965V4|Q965V4_CAEEL	-16.9	2.1	3	2	4	104.8	NA	NA	2	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4
NA	tr|Q965W3|Q965W3_CAEEL	-47.4	22	37	4	7	24.8	NA	NA	2	1	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7
NA	tr|Q965X4|Q965X4_CAEEL	-53.1	20	30	5	7	55.6	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	NA	7
NA	tr|Q965X9|Q965X9_CAEEL	-33.6	13	18	4	14	40.2	NA	NA	4	1	5	2	NA	NA	NA	NA	NA	NA	NA	2	NA	14
NA	tr|Q965Z4|Q965Z4_CAEEL	-2.4	3.2	5	1	1	21.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1
NA	tr|Q966C7|Q966C7_CAEEL	-168.7	41	58	12	112	35.3	NA	1	19	2	18	3	14	NA	20	NA	12	20	NA	3	NA	112
NA	tr|Q966G0|Q966G0_CAEEL	-15.9	4.9	7	1	1	25.9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	1
NA	tr|Q966I7|Q966I7_CAEEL	-31	25	29	3	6	15.5	NA	NA	2	NA	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6
NA	tr|Q966I8|Q966I8_CAEEL	-93.6	34	43	7	48	26.4	NA	1	NA	6	NA	4	3	4	4	11	2	6	4	3	NA	48
NA	tr|Q966J9|Q966J9_CAEEL	-13.4	7.9	17	2	3	24.8	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	3
NA	tr|Q966P8|Q966P8_CAEEL	-4.1	1.5	2	1	2	69.5	NA	NA	NA	1	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	2
NA	tr|Q967F1|Q967F1_CAEEL	-28.1	33	68	2	6	12.4	NA	NA	1	2	1	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	6
NA	tr|Q9BI72|Q9BI72_CAEEL	-97.1	15	45	10	25	50.7	2	NA	2	4	NA	5	NA	2	NA	4	NA	NA	NA	3	3	25
NA	tr|Q9BIB8|Q9BIB8_CAEEL	-40	7.1	11	5	8	98.7	NA	NA	4	1	2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	8
NA	tr|Q9BKP8|Q9BKP8_CAEEL	-42.2	27	75	3	26	20.8	NA	3	5	2	3	3	1	NA	2	2	1	1	NA	1	2	26
NA	tr|Q9BKR9|Q9BKR9_CAEEL	-2.5	1.2	3	1	3	64.5	NA	NA	NA	1	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	1	3
NA	tr|Q9BKS2|Q9BKS2_CAEEL	-35.1	16	23	3	15	25.7	NA	1	2	NA	3	NA	NA	NA	1	1	NA	4	NA	2	1	15
NA	tr|Q9BKU3|Q9BKU3_CAEEL	-115.1	37	48	11	49	38.9	NA	NA	10	6	9	8	2	2	1	5	NA	4	1	1	NA	49
NA	tr|Q9BKU5|Q9BKU5_CAEEL	-89.9	42	58	10	77	16.2	NA	3	8	12	5	13	4	8	2	9	NA	4	4	2	3	77
NA	tr|Q9BKW4|Q9BKW4_CAEEL	-14.5	3.6	5	2	4	57.7	NA	NA	NA	1	NA	NA	NA	NA	1	1	NA	NA	NA	1	NA	4
NA	tr|Q9BKX6|Q9BKX6_CAEEL	-2.8	2	3	1	1	35.9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	1
NA	tr|Q9BL03|Q9BL03_CAEEL	-2.5	5.5	8	1	1	21	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
NA	tr|Q9BL11|Q9BL11_CAEEL	-3.9	1	1	1	1	114.4	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
NA	tr|Q9BL15|Q9BL15_CAEEL	-3.2	1.9	3	1	1	78.6	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
NA	tr|Q9BL27|Q9BL27_CAEEL	-7.8	6.1	8	1	2	14.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	2
NA	tr|Q9BL29|Q9BL29_CAEEL	-15.8	7.2	9	2	6	27.8	NA	NA	1	NA	1	NA	1	1	NA	1	NA	NA	1	NA	NA	6
NA	tr|Q9BL34|Q9BL34_CAEEL	-3.7	8.3	10	1	1	14.8	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
NA	tr|Q9BL43|Q9BL43_CAEEL	-216.4	42	65	21	75	61.6	NA	NA	10	15	9	17	NA	1	1	4	NA	3	NA	10	5	75
NA	tr|Q9BL44|Q9BL44_CAEEL	-34.3	11	14	2	3	22.1	NA	NA	2	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3
NA	tr|Q9BL46|Q9BL46_CAEEL	-108.4	30	42	11	31	52.2	NA	NA	11	NA	11	NA	3	NA	2	NA	NA	2	NA	2	NA	31
NA	tr|Q9BL48|Q9BL48_CAEEL	-3.8	2.6	6	1	1	56.3	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
NA	tr|Q9BL56|Q9BL56_CAEEL	-4.3	2.6	3	1	1	51.1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
NA	tr|Q9BL60|Q9BL60_CAEEL	-40.5	19	27	3	17	24.1	NA	1	2	1	4	1	1	1	1	1	NA	1	NA	3	NA	17
NA	tr|Q9BL66|Q9BL66_CAEEL	-18.1	14	16	2	8	28.3	NA	NA	2	1	1	1	NA	1	NA	1	NA	1	NA	NA	NA	8
NA	tr|Q9BL81|Q9BL81_CAEEL	-27.6	4.3	5	1	1	26.8	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
NA	tr|Q9BL83|Q9BL83_CAEEL	-223.1	43	57	21	87	48.1	3	NA	12	12	9	6	4	6	3	7	NA	4	2	11	8	87
NA	tr|Q9BL87|Q9BL87_CAEEL	-7.5	11	12	1	2	17.8	NA	NA	NA	NA	NA	1	NA	NA	NA	1	NA	NA	NA	NA	NA	2
NA	tr|Q9BL88|Q9BL88_CAEEL	-2.3	1.4	2	1	3	56	NA	NA	NA	1	NA	1	NA	NA	1	NA	NA	NA	NA	NA	NA	3
NA	tr|Q9BMU4|Q9BMU4_CAEEL	-237.5	42	67	19	82	64.7	4	NA	5	25	7	23	NA	8	NA	9	NA	NA	1	NA	NA	82
NA	tr|Q9BPN5|Q9BPN5_CAEEL	-53.3	32	47	6	14	34.1	1	2	3	2	5	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	14
NA	tr|Q9GP96|Q9GP96_CAEEL	-7	11	28	1	2	12.7	NA	NA	NA	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2
NA	tr|Q9GPA0|Q9GPA0_CAEEL	-158.6	14	17	17	28	168.4	NA	NA	NA	12	5	10	NA	NA	NA	1	NA	NA	NA	NA	NA	28
NA	tr|Q9GPA1|Q9GPA1_CAEEL	-69	28	48	7	37	31.2	1	NA	7	2	6	3	3	NA	4	2	1	4	2	1	1	37
NA	tr|Q9GRV9|Q9GRV9_CAEEL	-746.4	50	97	54	496	116.3	70	NA	19	67	25	56	7	45	7	61	2	18	36	27	56	496
NA	tr|Q9GRZ2|Q9GRZ2_CAEEL	-3.1	1.1	2	1	1	109.1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
NA	tr|Q9GRZ9|Q9GRZ9_CAEEL	-164.9	32	47	16	43	75.8	3	NA	1	13	1	21	NA	1	NA	3	NA	NA	NA	NA	NA	43
NA	tr|Q9GUE9|Q9GUE9_CAEEL	-54	42	51	5	11	15.1	NA	NA	1	2	1	NA	NA	1	NA	NA	NA	NA	NA	2	4	11
NA	tr|Q9GUF2|Q9GUF2_CAEEL	-135.4	38	44	13	50	43	NA	NA	11	3	13	4	3	1	6	1	1	5	1	1	NA	50
NA	tr|Q9GYI1|Q9GYI1_CAEEL	-19.4	34	58	2	3	9.9	NA	2	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	3
NA	tr|Q9GYI7|Q9GYI7_CAEEL	-37.9	12	29	4	10	44	NA	NA	1	2	1	3	NA	NA	1	1	NA	1	NA	NA	NA	10
NA	tr|Q9GYJ9|Q9GYJ9_CAEEL	-35.7	8.5	12	3	6	54.1	NA	NA	2	1	1	NA	NA	NA	NA	1	NA	NA	NA	1	NA	6
NA	tr|Q9GYK4|Q9GYK4_CAEEL	-38.1	28	40	3	9	23.6	NA	NA	NA	1	NA	1	NA	1	NA	2	NA	NA	1	1	2	9
NA	tr|Q9GYK8|Q9GYK8_CAEEL	-3	0.9	2	1	1	74.9	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
NA	tr|Q9GYM2|Q9GYM2_CAEEL	-32.1	24	56	3	14	16.8	NA	1	2	NA	3	2	NA	1	1	1	1	2	NA	NA	NA	14
NA	tr|Q9GYM9|Q9GYM9_CAEEL	-144.5	28	39	13	64	62.8	NA	NA	15	7	15	6	4	NA	4	2	5	4	1	NA	1	64
NA	tr|Q9GYS8|Q9GYS8_CAEEL	-36.7	12	19	5	14	62.7	NA	NA	2	1	3	NA	2	NA	4	NA	NA	2	NA	NA	NA	14
NA	tr|Q9GYT0|Q9GYT0_CAEEL	-185.2	28	40	16	44	84.8	NA	NA	NA	12	1	12	NA	8	NA	7	NA	NA	1	3	NA	44
NA	tr|Q9GZE0|Q9GZE0_CAEEL	-4.5	5.2	12	1	2	23.9	NA	NA	1	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2
NA	tr|Q9GZH5|Q9GZH5_CAEEL	-482.6	47	58	40	165	107.3	NA	NA	11	44	18	43	2	13	1	20	NA	2	5	4	2	165
NA	tr|Q9GZI3|Q9GZI3_CAEEL	-440.5	25	33	38	111	230.4	NA	NA	11	38	12	34	1	2	4	8	NA	1	NA	NA	NA	111
NA	tr|Q9N2T4|Q9N2T4_CAEEL	-2.3	1.8	4	1	1	39.2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
NA	tr|Q9N2V5|Q9N2V5_CAEEL	-3.5	3.9	9	1	1	32.8	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
NA	tr|Q9N2X7|Q9N2X7_CAEEL	-25.6	11	32	2	24	17.4	NA	3	3	4	3	3	NA	2	NA	2	NA	2	1	NA	1	24
NA	tr|Q9N2X8|Q9N2X8_CAEEL	-4	2.3	6	1	2	52.8	NA	NA	NA	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2
NA	tr|Q9N2Y1|Q9N2Y1_CAEEL	-107.1	51	76	11	37	22.6	NA	6	NA	2	1	3	NA	6	NA	8	NA	NA	1	1	9	37
NA	tr|Q9N303|Q9N303_CAEEL	-10.4	5.3	8	2	2	69.2	NA	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2
